"Gene"	"padj"	"pvalue"	"lfcSE"	"stat"	"log2FoldChange"	"baseMean"
"LILRA6"	0.0039672430760841	3.41237825660735e-05	0.882117583602137	4.1440415831125	3.65553194764197	218.677932678546
"SLC4A4"	0.00414308847590989	3.58471620981617e-05	1.02632167373712	-4.13273520901526	-4.24151571682888	65.969381610647
"LHFPL3"	0.00422636111163605	3.67827641535914e-05	1.2644670551366	-4.12681150727571	-5.21821719370873	124.258662685621
"SEMA3C"	0.00430357555930414	3.76738088457e-05	0.800719093059544	4.12130144437983	3.3000047547688	1720.02240788581
NA	0.00443590809175746	3.90580262558042e-05	0.399580127599155	-4.11298234745418	-1.64346601120881	133.009376475488
"TYMP"	0.00443640666862092	3.92882105221926e-05	0.525174772679381	4.11162615264445	2.15932233005765	2460.44945288405
"C1orf226"	0.00452936197551869	4.03419353479118e-05	0.415625804792158	4.1055125650353	1.70635696392711	231.342757481302
"RPL23AP82"	0.00483767157241025	4.40728426028825e-05	0.333071819718011	4.0850209357678	1.36060535666235	414.479291226159
"IL7R"	0.00509170860763078	4.66463532865198e-05	1.26971073417342	4.07182433570226	5.17003906670969	648.349215655054
"USP18"	0.00510892802821161	4.70641272957197e-05	0.425176036291408	4.06974745410706	1.73035909124429	202.927006979987
"GJB2"	0.00528109515829464	4.89189392716625e-05	1.2211752212175	4.06073276467314	4.95886623220488	71.7498189181772
"CTSB"	0.00535118381053244	4.98405251082775e-05	0.486328268486079	4.05637355254444	1.97272912614166	59295.3388176451
"FXYD1"	0.00537878803757149	5.06451438798211e-05	0.523728117522601	4.05262963715792	2.12247609088502	315.801126161444
"LOC101927372"	0.00537878803757149	5.04899873329648e-05	0.452306482394003	-4.05334717654621	-1.83335520334528	48.5278082647651
"C7"	0.00540699560043524	5.11859314780616e-05	0.730154779503878	-4.05014488531643	-2.95723264569698	179.732614555143
"LINC00877"	0.00555240519111213	5.31276555338497e-05	0.784370486525868	-4.04142375356691	-3.16997351584248	26.6087284615391
"LOC107984449"	0.00564016937492823	5.42544794310584e-05	0.677900004131821	4.03650020021065	2.73634350240089	105.063898924479
"SMCO3"	0.00569641822618418	5.50854775536948e-05	0.81057117387043	4.03293091613148	3.26897754682704	166.876124624596
