GeneID,GSM4928875,GSM4928876,GSM4928877,GSM4928878,GSM4928879,GSM4928880,GSM4928881
114805,12.81,11.63,0,4.362,4.994,6.844,1.655
100144595,0.3301,0.3162,0,0.04763,0.05906,0.03443,0.0199
105373692,0,0.03118,0,0,0,0,0
105373694,0,0,0,0,0,0,0
105373693,0.02243,0,0,0,0,0,0
3760,0.09385,0.04495,0,0,0.01427,0.03328,0
105373696,0,0,0.1011,0,0,0,0
107985952,0,0,0,0,0,0,0
105373698,0,0,0,0,0,0,0
105373699,0,0,0,0,0,0,0
105373700,0,0,0,0,0,0,0
107985953,0,0,0,0,0,0,0
107985828,0.03803,0,0,0.06219,0,0.03371,0
105373703,0.01534,0.007349,0,0,0,0,0.007862
101929378,0.1015,0.1945,0.4306,0.06225,0.0965,0,0.4943
4929,4.87,2.221,0.3102,0.7201,1.005,1.803,2.403
440918,1.331,1.885,0.7423,0.642,1.087,0.8646,0.5337
100189021,0,0,0,0,0,0,0
100189208,0,0,0,0,0,0,0
2820,7.987,6.075,4.114,4.477,5.193,4.143,4.168
105373707,0,0.05766,0.06006,0.1476,0,0.1067,0.1234
105373708,0,0,0,0,0,0,0
107985955,0,0,0,0,0,0,0
105373710,0,0,0,0,0,0,0
105373709,0,0,0,0,0,0,0
11227,0,0.01665,0.4335,0.02842,0,0.01155,0.01336
57471,0.5227,0.1524,0.04536,0.1672,0.5617,0.3627,0.3028
728066,2.539,1.998,1.651,2.855,2.103,2.251,1.534
105373711,0.1281,0,0,0.04487,0.06956,0.04866,0
9595,3.367,2.794,0.3063,2.384,3.151,1.542,8.894
105373712,0.467,1.835,0,0,0.6748,0.08281,0
130399,0.6737,0.9269,0.04044,0.2236,0.2542,0.265,0.1402
105373713,0.1215,0.2328,0.1819,0,0,0.2154,0.06226
90,5.004,6.58,3.679,3.874,5.342,5.611,4.373
105373714,0.1552,0.5204,0,0.06345,0.05901,0.2064,0
151531,0.1517,0.2907,0.03785,0.04135,0.1058,0.02242,0
554201,0.1154,0.4422,0,0,0.08774,0.2557,0
130940,0.3648,0.7455,0,0.1392,0.4438,0.291,0
8502,7.652,16.29,0.5651,2.53,8.574,4.47,0.5993
105373715,0.04913,0,0,0,0,0,0.02518
107985780,0.0801,0.1814,0.01817,0.01786,0.08306,0,0.02239
100129029,0.8571,1.837,0.07877,0.2305,0.8747,0.5399,0.06935
92196,0,0,0,0,0,0,0.5138
85461,2.835,5.581,2.767,2.751,5.002,2.324,1.717
102465535,0,0,0,0,0,0,0
105373716,1.596,2.388,1.912,0.8333,1.858,0.6967,1.07
151525,3.849,5.062,5.674,2.407,4.4,2.866,1.857
29994,4.574,6.111,5.024,3.52,4.575,2.107,2.256
643072,1.494,1.038,1.062,1.008,1.448,0.9437,0.6316
64844,20.12,15.2,16.71,26.57,21.34,14.81,14.46
100526664,3.085,3.099,0.4567,3.178,4.133,3.396,1.328
9936,5.579,4.715,0.9892,6.597,7.257,7.122,2.41
4065,1.542,1.768,0.02641,0.8601,2.043,1.044,0.8273
22925,9.125,4.58,1.417,8.9,15.63,10.63,4.197
105373717,0,0,0,0,0.04327,0,0
3694,0.4306,0.9843,2.959,11.44,0.5729,0.1388,26.09
100505984,0,0.959,0.1816,0.2976,0.8304,0.08067,0.09327
5937,36.06,23.99,36.83,38.51,49.35,44,33.13
100616364,3.141,9.029,6.896,3.082,6.211,3.899,7.083
105373718,0,0,0,0,0,0,0
105373719,0,0,0,0,0,0,0
10010,25.14,12.66,16.62,37.31,21.64,19.17,15.66
101929512,0.3995,0.2296,0.2392,0.1307,0.3646,0.3542,0.3276
100996579,0.7718,1.109,0.7509,0.2366,0.08803,0.2908,0.03955
10213,31.29,24.28,25.93,38.93,27.73,35.7,24.93
10716,0,0.01154,0.0481,0,0.009163,0,0.0247
105373720,0,0,0,0,0,0,0
285116,0.5035,0.6862,0.5438,0.505,0.6631,0.2025,0.5373
57282,0.02604,0.01247,0,0.09581,0.0594,0.02886,0.02002
105373722,0,0,0,0,0,0,0
1803,107.9,158.8,61.68,16.96,24.85,7.377,52.55
100131604,0.4006,0.7195,3.497,0,0.1904,0.08878,0.6671
101929532,2.859,2.386,0.3043,7.876,4.938,7.593,6.161
2641,0,0,0,0.1668,0,0.3256,2.091
2191,9.628,8.071,1.57,26.25,17.11,18.92,23.88
105373724,0.1418,0,1.273,7.36,0.4312,0.6913,7.629
64135,5.405,5.362,4.793,16.47,12.9,15.66,18.51
25801,1.635,1.362,1.179,2.173,1.172,1.495,1.325
90134,0,0,0.1549,0.1015,0.03147,0.009172,0.0106
